PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,00001111,00010111,00011011,00011101,00011110,00100111,00101011,00101101,00101110,00110011,00110101,00110110,00111001,00111010,00111100,01000111,01001011,01001101,01001110,01010011,01010101,01010110,01011001,01011010,01011100,01100011,01100101,01100110,01101001,01101010,01101100,01110001,01110010,01110100,01111000,10000111,10001011,10001101,10001110,10010011,10010101,10010110,10011001,10011010,10011100,10100011,10100101,10100110,10101001,10101010,10101100,10110001,10110010,10110100,10111000,11000011,11000101,11000110,11001001,11001010,11001100,11010001,11010010,11010100,11011000,11100001,11100010,11100100,11101000,11110000
"(39, 191)",2,"(0, 1)","[(39, 191), (230, 208)]",00 - M,00 - M,00 - M,00 - M,00 - M,00 - M,00 - M,00 - M,00 - M,00 - M,00 - M,00 - M,00 - M,00 - M,00 - M,01 - B,01 - B,01 - B,01 - B,01 - B,01 - B,01 - B,01 - B,01 - B,01 - B,01 - B,01 - B,01 - B,01 - B,01 - B,01 - B,01 - B,01 - B,01 - B,01 - B,10 - B,10 - B,10 - B,10 - B,10 - B,10 - B,10 - B,10 - B,10 - B,10 - B,10 - B,10 - B,10 - B,10 - B,10 - B,10 - B,10 - B,10 - B,10 - B,10 - B,11 - M,11 - M,11 - M,11 - M,11 - M,11 - M,11 - M,11 - M,11 - M,11 - M,11 - M,11 - M,11 - M,11 - M,11 - M
"(230, 208)",2,"(0, 5)","[(39, 191), (45, 129)]",01 - B,01 - B,00 - M,01 - B,01 - B,01 - B,00 - M,01 - B,01 - B,00 - M,01 - B,01 - B,00 - M,00 - M,01 - B,01 - B,00 - M,01 - B,01 - B,00 - M,01 - B,01 - B,00 - M,00 - M,01 - B,00 - M,01 - B,01 - B,00 - M,00 - M,01 - B,00 - M,00 - M,01 - B,00 - M,11 - M,10 - B,11 - M,11 - M,10 - B,11 - M,11 - M,10 - B,10 - B,11 - M,10 - B,11 - M,11 - M,10 - B,10 - B,11 - M,10 - B,10 - B,11 - M,10 - B,10 - B,11 - M,11 - M,10 - B,10 - B,11 - M,10 - B,10 - B,11 - M,10 - B,10 - B,10 - B,11 - M,10 - B,10 - B
"(250, 75)",2,"(0, 7)","[(39, 191), (6, 62)]",01 - B,01 - B,01 - B,01 - B,00 - M,01 - B,01 - B,01 - B,00 - M,01 - B,01 - B,00 - M,01 - B,00 - M,00 - M,01 - B,01 - B,01 - B,00 - M,01 - B,01 - B,00 - M,01 - B,00 - M,00 - M,01 - B,01 - B,00 - M,01 - B,00 - M,00 - M,01 - B,00 - M,00 - M,00 - M,11 - M,11 - M,11 - M,10 - B,11 - M,11 - M,10 - B,11 - M,10 - B,10 - B,11 - M,11 - M,10 - B,11 - M,10 - B,10 - B,11 - M,10 - B,10 - B,10 - B,11 - M,11 - M,10 - B,11 - M,10 - B,10 - B,11 - M,10 - B,10 - B,10 - B,11 - M,10 - B,10 - B,10 - B,10 - B
"(138, 118)",2,"(1, 2)","[(230, 208), (250, 75)]",00 - M,00 - M,00 - M,00 - M,00 - M,01 - B,01 - B,01 - B,01 - B,01 - B,01 - B,01 - B,01 - B,01 - B,01 - B,10 - B,10 - B,10 - B,10 - B,10 - B,10 - B,10 - B,10 - B,10 - B,10 - B,11 - M,11 - M,11 - M,11 - M,11 - M,11 - M,11 - M,11 - M,11 - M,11 - M,00 - M,00 - M,00 - M,00 - M,00 - M,00 - M,00 - M,00 - M,00 - M,00 - M,01 - B,01 - B,01 - B,01 - B,01 - B,01 - B,01 - B,01 - B,01 - B,01 - B,10 - B,10 - B,10 - B,10 - B,10 - B,10 - B,10 - B,10 - B,10 - B,10 - B,11 - M,11 - M,11 - M,11 - M,11 - M
"(78, 123)",2,"(2, 3)","[(250, 75), (138, 118)]",00 - M,01 - B,01 - B,01 - B,01 - B,10 - B,10 - B,10 - B,10 - B,11 - M,11 - M,11 - M,11 - M,11 - M,11 - M,00 - M,00 - M,00 - M,00 - M,01 - B,01 - B,01 - B,01 - B,01 - B,01 - B,10 - B,10 - B,10 - B,10 - B,10 - B,10 - B,11 - M,11 - M,11 - M,11 - M,00 - M,00 - M,00 - M,00 - M,01 - B,01 - B,01 - B,01 - B,01 - B,01 - B,10 - B,10 - B,10 - B,10 - B,10 - B,10 - B,11 - M,11 - M,11 - M,11 - M,00 - M,00 - M,00 - M,00 - M,00 - M,00 - M,01 - B,01 - B,01 - B,01 - B,10 - B,10 - B,10 - B,10 - B,11 - M
"(45, 129)",2,"(2, 7)","[(250, 75), (6, 62)]",01 - B,01 - B,01 - B,01 - B,00 - M,11 - M,11 - M,11 - M,10 - B,11 - M,11 - M,10 - B,11 - M,10 - B,10 - B,01 - B,01 - B,01 - B,00 - M,01 - B,01 - B,00 - M,01 - B,00 - M,00 - M,11 - M,11 - M,10 - B,11 - M,10 - B,10 - B,11 - M,10 - B,10 - B,10 - B,01 - B,01 - B,01 - B,00 - M,01 - B,01 - B,00 - M,01 - B,00 - M,00 - M,11 - M,11 - M,10 - B,11 - M,10 - B,10 - B,11 - M,10 - B,10 - B,10 - B,01 - B,01 - B,00 - M,01 - B,00 - M,00 - M,01 - B,00 - M,00 - M,00 - M,11 - M,10 - B,10 - B,10 - B,10 - B
"(36, 77)",2,"(6, 7)","[(36, 77), (6, 62)]",11 - M,11 - M,11 - M,01 - B,10 - B,11 - M,11 - M,01 - B,10 - B,11 - M,01 - B,10 - B,01 - B,10 - B,00 - M,11 - M,11 - M,01 - B,10 - B,11 - M,01 - B,10 - B,01 - B,10 - B,00 - M,11 - M,01 - B,10 - B,01 - B,10 - B,00 - M,01 - B,10 - B,00 - M,00 - M,11 - M,11 - M,01 - B,10 - B,11 - M,01 - B,10 - B,01 - B,10 - B,00 - M,11 - M,01 - B,10 - B,01 - B,10 - B,00 - M,01 - B,10 - B,00 - M,00 - M,11 - M,01 - B,10 - B,01 - B,10 - B,00 - M,01 - B,10 - B,00 - M,00 - M,01 - B,10 - B,00 - M,00 - M,00 - M
"(6, 62)",3,"(0, 1, 2)","[(39, 191), (230, 208), (250, 75)]",000 - M,000 - M,000 - M,000 - M,000 - M,001 - I,001 - I,001 - I,001 - I,001 - I,001 - I,001 - I,001 - I,001 - I,001 - I,010 - I,010 - I,010 - I,010 - I,010 - I,010 - I,010 - I,010 - I,010 - I,010 - I,011 - I,011 - I,011 - I,011 - I,011 - I,011 - I,011 - I,011 - I,011 - I,011 - I,100 - I,100 - I,100 - I,100 - I,100 - I,100 - I,100 - I,100 - I,100 - I,100 - I,101 - I,101 - I,101 - I,101 - I,101 - I,101 - I,101 - I,101 - I,101 - I,101 - I,110 - I,110 - I,110 - I,110 - I,110 - I,110 - I,110 - I,110 - I,110 - I,110 - I,111 - M,111 - M,111 - M,111 - M,111 - M
,3,"(0, 1, 3)","[(39, 191), (230, 208), (138, 118)]",000 - M,001 - I,001 - I,001 - I,001 - I,000 - M,000 - M,000 - M,000 - M,001 - I,001 - I,001 - I,001 - I,001 - I,001 - I,010 - I,010 - I,010 - I,010 - I,011 - I,011 - I,011 - I,011 - I,011 - I,011 - I,010 - I,010 - I,010 - I,010 - I,010 - I,010 - I,011 - I,011 - I,011 - I,011 - I,100 - I,100 - I,100 - I,100 - I,101 - I,101 - I,101 - I,101 - I,101 - I,101 - I,100 - I,100 - I,100 - I,100 - I,100 - I,100 - I,101 - I,101 - I,101 - I,101 - I,110 - I,110 - I,110 - I,110 - I,110 - I,110 - I,111 - M,111 - M,111 - M,111 - M,110 - I,110 - I,110 - I,110 - I,111 - M
,3,"(0, 1, 5)","[(39, 191), (230, 208), (45, 129)]",001 - I,001 - I,000 - M,001 - I,001 - I,001 - I,000 - M,001 - I,001 - I,000 - M,001 - I,001 - I,000 - M,000 - M,001 - I,011 - I,010 - I,011 - I,011 - I,010 - I,011 - I,011 - I,010 - I,010 - I,011 - I,010 - I,011 - I,011 - I,010 - I,010 - I,011 - I,010 - I,010 - I,011 - I,010 - I,101 - I,100 - I,101 - I,101 - I,100 - I,101 - I,101 - I,100 - I,100 - I,101 - I,100 - I,101 - I,101 - I,100 - I,100 - I,101 - I,100 - I,100 - I,101 - I,100 - I,110 - I,111 - M,111 - M,110 - I,110 - I,111 - M,110 - I,110 - I,111 - M,110 - I,110 - I,110 - I,111 - M,110 - I,110 - I
